ToolNumber,NameDescription,Location,Brand,PartNumber,Supplier,PurchasedDate,Notes,AvailableQuantity
?,?,?,Universial Transmission Dipstick,?,?,,?,0
B1021,T1,T1,VANOS Camshaft Locking Plates,T1,T&E Tools,,T1,0
ETN62N73,T10,T10,BMW Timing Kit,T10,All Euro,,T10,0
CP101825,T11,T11,Engine Timing Tool,T11,?,,T11,0
HCB-H1188,T12,T12,Valve Spring Pliers,T12,All Euro,,T12,0
JTC-4915,T120,T120,BMW Mini Timing Tool,T120,All Euro,,T120,0
JTC-4281,T121,T121,TIMING TOOL SET FOR BMW (N13 N18),T121,All Euro,,T121,0
304703,T122,T122,Toledo Timing Tool Kit - MINI,T122,Repco,,T122,0
AST5020,T123,T123,Engine Timing Tool Set,T123,T&E Tools,,T123,0
H.C.B-A1605,T13,T13,Fuel Injector Removal/Installer,T13,All Euro,,T13,0
H.C.B-B1294,T14,T14,Ball Joint Puller,T14,All Euro,,T14,0
H.C.B-C1421,T15,T15,DIESEL ENGINE TIMING TOOL,T15,All Euro,,T15,0
FUELGAUGE,T150,T150,Fuel Gauge Assortments,T150,Repco,,T150,0
H.C.B-A2150,T151,T151,Coolant Pressure Tester,T151,Repco,,T151,0
JTC-4647,T152,T152,Camshaft pulley Puller,T152,Repco,,T152,0
JTC-4776,T153,T153,FLOW METER COMMON RAIL SET,T153,All Euro,,T153,0
301939,T154,T154,Toledo Snap Ring Plier Set,T154,Repco,,T154,0
RRT1061G,T155,T155,Oil Drain Repair Set,T155,Repco,,T155,0
4115,T157,T157,Spring Compressor Tool - Universal,T157,Sulco,,T157,0
7204,T158,T158,Brake Pipe Double Flaring Tool,T158,Sulco,,T158,0
HCB-A1331,T16,T16,Pulley Holder Tool,T16,All Euro,,T16,0
H.C.B-A1038,T160,T160,Assorted Puller Tools,T160,All Euro,,T160,0
RTT3500-46A,T163,T163,Radio Removal Tool Kit,T163,Repco,,T163,0
SFT001,T164,T164,Belt Fitting Tool,T164,Repco,,T164,0
ITC45,T165,T165,Laser Heat Gun,T165,?,,T165,0
95-0003C,T168,T168,Smoke Tester Attachments,T168,Repco,,T168,0
9596,T169,T169,Hole Saw Kit,T169,Repco,,T169,0
H.C.B-B1262,T17,T17,Engine Timing Tool Set,T17,All Euro,,T17,0
7059,T170,T170,Mightyvac Vacuum tester,T170,Sulco,,T170,0
ET1201,T179,T179,Injector Pump / Shaft Cleaning Set,T179,All Euro,,T179,0
H.C.B-I1188,T18,T18,Engine Timing Tool Set,T18,All Euro,,T18,0
98804,T180,T180,"3/4"" T70 T80 T90 T100 Torx-r Impact Sockets",T180,Sulco,,T180,0
ET6498,T181,T181,Strut Nut Remover Tool,T181,All Euro,,T181,0
CL337,T182,T182,Piston Ring Service Set 9pc,T182,T&E Tools,,T182,0
OILFILTERTOOL,T183,T183,Oil Filter Cap Removal Tools,T183,Repco,,T183,0
FD-404M,T184,T184,Metric Stud Extraction Tool,T184,Repco,,T184,0
6266,T186,T186,Cam Locking Tool - Universal,T186,Sulco,,T186,0
DWE4151-XE,T187,T187,Grinder - Cable Type,T187,Bunnings,,T187,0
WFB-1600,T188,T188,Air Powered Body Saw,T188,?,,T188,0
H.C.B-B1568,T19,T19,Rear Diff Bush Removal/Installer,T19,All Euro,,T19,0
Homemade,T190,T190,Trailer Light Boad,T190,Repco,,T190,0
MPCPTHG,T191,T191,Heat Gun 2000w,T191,Repco,,T191,0
55800,T194,T194,A/C Gas Leak Detector,T194,All Euro,,T194,0
MPBW115,T195,T195,Tourqe Wrench - 2-24 Nm,T195,Repco,,T195,0
MV400,T196,T196,Autel MaxiVideo Camera,T196,Petrojet,,T196,0
ET2210,T197,T197,Diesel Injector Seat Cutter Kit,T197,All Euro,,T197,0
6474,T198,T198,Straight Edge,T198,Sulco,,T198,0
ET4090-ADAP,T199,T199,Transmission Filler kit,T199,All Euro,,T199,0
JTC-4619A,T2,T2,Camshaft Alignment Tool,T2,JTC,,T2,0
ET6064,T20,T20,Wheel Lock Removal Kit,T20,All Euro,,T20,0
J4298,T200,T200,O2 Sensor/Switch Sockets,T200,T&E Tools,,T200,0
RST179,T201,T201,Compression Tester - Universal,T201,Repco,,T201,0
H.C.B-E1168,T202,T202,Ball Joint Remover/Installer,T202,All Euro,,T202,0
B2111,T204,T204,Fuel Tank Lid Remover 60-195mm 2 Way,T204,Sulco,,T204,0
H.C.B-D1253,T21,T21,Axle Shaft Removal Kit,T21,All Euro,,T21,0
JTC-4221,T22,T22,Trans Mount Removal/Installer,T22,All Euro,,T22,0
H.C.B-A1517,T265,T265,Engine Timing Tool Set,T265,All Euro,,T265,0
DEPTHGAUGE,T266,T266,Depth Gauge,T266,All Euro,,T266,0
H.C.B-D1293,T267,T267,TIMING CHAINS RIVETING TOOL,T267,All Euro,,T267,0
H.C.B-D1095,T268,T268,UNIVERSAL HUB PULLER SET,T268,All Euro,,T268,0
PORTAPOWER,T269,T269,Service Jack (Porta-Power) 4 Ton,T269,ToolShed,,T269,0
AT4118,T270,T270,Engine Timing Tool Set,T270,Repco,,T270,0
H.C.B-C1156,T3,T3,Camshaft Carrier kit,T3,All Euro,,T3,0
H.C.B-D1506,T30,T30,VAG 1.8/2.0 TSI/TFSI (EA888) ENGINE TIMING TOOL KIT,T30,All Euro,,T30,0
AST4800,T301,T301,Engine Timing Tool Set,T301,All Euro,,T301,0
8220,T302,T302,Dremel - Battery Operated,T302,Bunnings,,T302,0
12276,T303,T303,Coolant Vacuum Bleeder,T303,Sulco,,T303,0
AST6005,T306,T306,Cylinder Head Bolt Socket Set,T306,All Euro,,T306,0
JTC-4768A,T31,T31,Engine Timing DTI Tube,T31,All Euro,,T31,0
H.C.B-B1235,T32,T32,AUDI CAMSHAFT ADJUSTMENT GAUGE SET (3.0L  V6  PETROL ENGINE),T32,All Euro,,T32,0
H.C.B-A2201,T33,T33,VW  AUDI (A4/A6/A8/A11) GAS / DIESEL ENGINE TIMING TOOL KIT,T33,All Euro,,T33,0
H.C.B-A1522,T34,T34,VW /AUDI (2.4 / 3.0 / 3.2 / 4.2 / 5.0 /5.2) CAMSHAFT TIMING TOOL SET,T34,All Euro,,T34,0
H.C.B-A1153,T4,T4,Rear Susp Bush Extractor/Installer,T4,All Euro,,T4,0
RST175,T400,T400,Pilot Bearing Puller,T400,Repco,,T400,0
JTC-4804,T401,T401,#1Mini cooper serpentine belt tool kit,T401,All Euro,,T401,0
JTC-4803,T402,T402,#2 Mini cooper serpentine belt tool kit,T402,All Euro,,T402,0
ET1622,T404,T404,VAG Injection Pump / Timing Kit 2.7L | 3.0L | 4.2L - V6 | V8 Diesel,T404,All Euro,,T404,0
400053710,T465,T465,LuK Mounting Tool Set clutch / flywheel,T465,All Euro,,T465,0
H.C.B-A1121,T5,T5,Engine Timing Tool Set,T5,All Euro,,T5,0
H.C.B-A1070,T6,T6,Bush removal/Install Tool,T6,All Euro,,T6,0
AST5145,T60,T60,Engine Timing Tool Set,T60,T&E Tools,,T60,0
JTC-4931,T61,T61,Diesel Engine Timing Tool - VW,T61,All Euro,,T61,0
RTT1017,T62,T62,Airbag Removal Tool Set,T62,Repco,,T62,0
ET1514A,T63,T63,Rear Main Seal Installer,T63,All Euro,,T63,0
HCB-A1164,T64,T64,Cam Alignment Tool,T64,All Euro,,T64,0
ET0017A,T65,T65,Injector Chamber Seal Tool,T65,All Euro,,T65,0
ET0704,T66,T66,VAG Brake Servo Release Kit,T66,All Euro,,T66,0
8100D,T76,T76,Soldering Iron,T76,?,,T76,0
E1376B,T8,T8,Valve Spring Tool - Univeral,T8,All Euro,,T8,0
ET3976,T81,T81,Press Bearing Bush Removal Kit,T81,All Euro,,T81,0
ET0095,T9,T9,Valve Stem Seal Kit,T9,All Euro,,T9,0
